train cnt: 824
mean: 743209.837336 | std: 2006867.48178
excluded outliers count: 17
real:    504699 | predicted: 460888
real:    254106 | predicted: 264490
real:    197769 | predicted: 269096
real:    164723 | predicted: 179209
real:    452254 | predicted: 608143
real:    153338 | predicted: 154027
real:    140691 | predicted: 144427
real:    212911 | predicted: 271322
real:    130315 | predicted: 119687
real:    278775 | predicted: 328042
real:   1974771 | predicted: 1324512
real:    150060 | predicted: 178500
real:    675112 | predicted: 603766
real:    409647 | predicted: 451039
real:     90804 | predicted: 87676
real:   1346644 | predicted: 1397478
real:   2111844 | predicted: 2109305
real:     69499 | predicted: 67578
real:    508616 | predicted: 462441
real:   2228772 | predicted: 2410956
real:    133050 | predicted: 181971
real:    477964 | predicted: 535607
real:   4211987 | predicted: 3423139
real:    728658 | predicted: 447713
real:    577036 | predicted: 549357
real:    160408 | predicted: 224779
real:    462871 | predicted: 447450
real:   4679478 | predicted: 6090159
real:     87921 | predicted: 80474
real:    204007 | predicted: 195374
real:    168848 | predicted: 206219
real:    167837 | predicted: 162983
real:    298392 | predicted: 297021
real:    168093 | predicted: 243915
real:    113761 | predicted: 120661
real:    179990 | predicted: 198990
real:   4686390 | predicted: 5606137
real:    148098 | predicted: 143893
real:    433085 | predicted: 515960
real:    983323 | predicted: 1071894
real:    319273 | predicted: 416363
real:   1010876 | predicted: 884300
real:    136964 | predicted: 149653
real:    285675 | predicted: 314858
real:    139848 | predicted: 156754
real:    402838 | predicted: 483945
real:     41947 | predicted: 37485
real:     84063 | predicted: 73721
real:    234487 | predicted: 275094
real:    285513 | predicted: 316468
real:    125397 | predicted: 123614
real:    103643 | predicted: 92507
real:     91734 | predicted: 92998
real:    316249 | predicted: 366500
real:    169660 | predicted: 160967
real:    135987 | predicted: 153823
real:    342927 | predicted: 410581
real:    217885 | predicted: 249174
real:    237125 | predicted: 255325
real:    209443 | predicted: 224322
real:    156168 | predicted: 157965
real:    285636 | predicted: 289149
real:    596127 | predicted: 658036
real:    188623 | predicted: 252872
real:    427608 | predicted: 512189
real:    127983 | predicted: 128985
real:    783992 | predicted: 678373
real:     50342 | predicted: 47594
real:    146880 | predicted: 164500
real:    122727 | predicted: 144883
real:   1330751 | predicted: 454181
real:    110530 | predicted: 111686
real:    364571 | predicted: 449724
real:    228045 | predicted: 196380
real:    377877 | predicted: 371903
real:   1022783 | predicted: 841265
real:   1729638 | predicted: 2189060
real:    559071 | predicted: 582838
real:    228189 | predicted: 324183
real:    176768 | predicted: 173115
real:    231934 | predicted: 290941
real:    252720 | predicted: 277463
real:    179285 | predicted: 172122
real:    436952 | predicted: 182025
real:    477908 | predicted: 567121
real:     89226 | predicted: 90039
real:    197523 | predicted: 208371
real:     58743 | predicted: 50994
real:    195145 | predicted: 213972
real:    340733 | predicted: 399270
real:    559276 | predicted: 386633
real:    155788 | predicted: 154901
predict lr 
mRSE: 0.0382741033392
        predict simple | n: 0 mRSE: 8.65189893808
  predict simple multi | n: 0 mRSE: 8.65189893808
        predict simple | n: 1 mRSE: 8.47344672629
  predict simple multi | n: 1 mRSE: 3.83227269152
        predict simple | n: 2 mRSE: 3.94647837167
  predict simple multi | n: 2 mRSE: 2.02117428764
        predict simple | n: 3 mRSE: 1.93007041436
  predict simple multi | n: 3 mRSE: 1.36461459242
        predict simple | n: 4 mRSE: 1.17425100314
  predict simple multi | n: 4 mRSE: 1.20215934786
        predict simple | n: 5 mRSE: 0.930213396002
  predict simple multi | n: 5 mRSE: 1.15481226042
        predict simple | n: 6 mRSE: 0.856240717835
  predict simple multi | n: 6 mRSE: 1.52591610865
        predict simple | n: 7 mRSE: 0.8365982808
  predict simple multi | n: 7 mRSE: 1.58073968665
        predict simple | n: 8 mRSE: 0.8217353082
  predict simple multi | n: 8 mRSE: 1.53016284199
        predict simple | n: 9 mRSE: 0.813976335429
  predict simple multi | n: 9 mRSE: 1.75231534167
        predict simple | n: 10 mRSE: 0.840934417374
  predict simple multi | n: 10 mRSE: 1.74612497594
        predict simple | n: 11 mRSE: 0.904788611541
  predict simple multi | n: 11 mRSE: 1.78662414269
        predict simple | n: 12 mRSE: 1.01431687666
  predict simple multi | n: 12 mRSE: 1.79982973558
        predict simple | n: 13 mRSE: 1.06222936474
  predict simple multi | n: 13 mRSE: 1.44977259243
        predict simple | n: 14 mRSE: 1.03771909826
  predict simple multi | n: 14 mRSE: 0.949410364663
        predict simple | n: 15 mRSE: 0.982255607676
  predict simple multi | n: 15 mRSE: 0.879835020002
        predict simple | n: 16 mRSE: 0.915286626106
  predict simple multi | n: 16 mRSE: 0.732744769044
        predict simple | n: 17 mRSE: 0.837793324423
  predict simple multi | n: 17 mRSE: 0.690406587798
        predict simple | n: 18 mRSE: 0.756950848862
  predict simple multi | n: 18 mRSE: 0.480979439019
        predict simple | n: 19 mRSE: 0.67926697963
  predict simple multi | n: 19 mRSE: 0.418877150466
        predict simple | n: 20 mRSE: 0.629961277369
  predict simple multi | n: 20 mRSE: 0.365605971804
        predict simple | n: 21 mRSE: 0.604267565797
  predict simple multi | n: 21 mRSE: 0.359407745354
        predict simple | n: 22 mRSE: 0.578123863838
  predict simple multi | n: 22 mRSE: 0.397143560235
        predict simple | n: 23 mRSE: 0.546748497097
  predict simple multi | n: 23 mRSE: 0.296594755352
